,H_H,H_B,H_CD,H_WD,B_H,B_B,B_CD,B_WD,CD_H,CD_B,CD_CD,CD_WD,WD_H,WD_B,WD_CD,WD_WD,Time_Gyr
86,0.01943367468549024,0.043962484064036876,0.03663139433937096,0.036272766833078576,0.0015496152615963794,0.07303228273217575,0.039883751282154975,0.047664915460491245,0.0025368638021246235,0.010479198936468637,0.008413118513007526,0.009330292349160274,0.007256170035148266,0.0328601933790948,0.026199584125505528,0.027734298447215245,7.1472212
87,0.021539517908414407,0.04982735584376961,0.038913271185810595,0.0391472537661355,0.0009999889707098819,0.07381352411554284,0.04507854692779124,0.04954357121061165,0.0026954177897574125,0.011474430120379067,0.009608371650547011,0.00990596528887317,0.007950990946967095,0.034909024272919545,0.029269012768924962,0.030266704334613533,7.3297275
88,0.028436537145281316,0.04499025801499675,0.042242602760994445,0.042587016372220364,0.001832700374628221,0.07524549361587923,0.04843880398377959,0.053690584295026156,0.0036906489736678416,0.011008525325950409,0.010257223353782732,0.010952421607249576,0.010544479991448358,0.033748444288343046,0.03184723102413548,0.032631131540033644,7.4689628
89,0.028560088694705214,0.04989733194255837,0.0463602588240954,0.049324402633725416,0.0012279276331511049,0.08111123774370135,0.05231559946030007,0.058501193001547776,0.0035564879072093277,0.011650059152833847,0.01192325986998573,0.012576990157456306,0.009600236188207387,0.03657099517188546,0.035888899917792254,0.038039536073421955,7.6577542
90,0.031084695133818355,0.05137339027638372,0.048667283331037245,0.0551958346727196,0.0015018216710845102,0.08547332198541928,0.0537273485954199,0.06469230118785455,0.0038906709272968983,0.012259882182190728,0.012679440426388262,0.01413813711260992,0.011305474323440408,0.03779011318199981,0.03830168462256972,0.04290837271924399,7.8017065
91,0.03813260033369852,0.0477575940467834,0.05958683487171413,0.06743618507803428,0.002724234659176553,0.08718837659878752,0.05971441491454138,0.07076576361290132,0.004068739251869107,0.012072056689148809,0.016631093656620848,0.019804612701394057,0.011493814057779576,0.037642495552382624,0.0473369016077596,0.055290437686271815,7.9476796
92,0.04913634186823063,0.06273466594066464,0.04581685068193895,0.06762971272624695,0.0026929850038418693,0.09570850321503807,0.05737252897945978,0.07839803237464292,0.005354246197753412,0.014257662426363869,0.013138027344464636,0.01949726189459819,0.015194435324389742,0.04439472954159636,0.03927647000435217,0.05710766160949029,8.0956711
93,0.09712026485953391,0.027726935768501573,0.05401498800565932,0.06465135502155045,0.014681823362242328,0.09489785039135598,0.05971992955960045,0.08121050135476447,0.01116464002146577,0.012457464843702358,0.015196789891573465,0.018792306472661634,0.03261331561921778,0.03672879332768314,0.04519135571522014,0.05543041992125363,8.2961266
94,0.09061467442526662,0.03663139433937096,0.05573377593215817,0.06850769409073713,0.010665323544225615,0.10764587155288728,0.05768686374782631,0.08639242949526292,0.011442719322852507,0.01439426278493981,0.015648058933297557,0.0204022392701638,0.031781057603962264,0.04260804719691937,0.04658863293349317,0.05918194381876627,8.4488118
95,0.09451037505002198,0.042231668995558705,0.05985799225452056,0.07261222963531519,0.009305044429657025,0.10719183244302452,0.06315555343139598,0.09286294636456216,0.013003866278006123,0.014811381737019918,0.017223841641155736,0.023014721127928676,0.03467741730231327,0.04356247152634084,0.05318306876690922,0.06439182809163492,8.6034987
96,0.08493677003448509,0.05993999549528864,0.07035550044937776,0.0827467368177057,0.005205824935754385,0.10932232365084209,0.06937055841295868,0.10119006040374555,0.013550267712309888,0.0158822309765706,0.02153163152053274,0.02548816333500018,0.03345320902910867,0.04763722713008422,0.06074719971901748,0.0740658730946509,8.7601795
97,0.08296213199678984,0.06775654440530156,0.08040581763791305,0.09775770338443775,0.004453994992702286,0.12362547471902884,0.07505064282379238,0.10009632246703161,0.012835555121903623,0.018092229634959933,0.02499786561939725,0.0289373223890427,0.03147564181854739,0.05455743980127613,0.06982313880892933,0.08405805954080736,8.9188451
98,0.09327595293232656,0.06891989704766466,0.07918342266219694,0.10376908762100945,0.005593688304908402,0.12863828707771605,0.07850832527582416,0.10574148079249127,0.01216962837384591,0.0195338512763596,0.024541717993438305,0.03383298166871974,0.033506656791556275,0.05823515488398018,0.07209848641027011,0.09210067522339892,9.0794853
99,0.08436930760837001,0.07773032523578666,0.08941305360387843,0.11207546922254367,0.003801428660713301,0.13502608427112936,0.08332261041238516,0.10962011448403143,0.013057530704589529,0.020663243526728544,0.026176043712114745,0.03503555268261151,0.03293909245699364,0.06156418694500225,0.07812535790912353,0.09765924251794954,9.2420885
100,0.08805289318367195,0.08649701836216567,0.09425780506845631,0.11451260553817087,0.004328996371363551,0.13571725311853178,0.08851005319794267,0.11389580261982404,0.015382176092497956,0.021480406386066762,0.028095766608530203,0.034218389823273285,0.03379171152461015,0.06424421046201773,0.08489795295069825,0.10014329090599047,9.4066418
101,0.09201856990721606,0.08234765437930107,0.10385546436795182,0.12115377466384138,0.004018338033036401,0.1395002996290482,0.08953026253386911,0.11895089392396407,0.014989450061592125,0.021743849934748937,0.029386152138649365,0.03636252759449208,0.0324351564110591,0.06549132491912844,0.08965225867698973,0.10617016240484389,9.5731313
102,0.0943179407783529,0.08656918121404159,0.11701425106986894,0.11606629360659,0.00449259750811572,0.14161976154674766,0.09675444756124013,0.11879096921725128,0.012537961483577467,0.022414655267041506,0.03350367723286702,0.03795294605505482,0.03249878469968721,0.06681733845413801,0.09894962421132736,0.10731801673169478,9.7415418
103,0.0966348056741869,0.0863723734361982,0.12001010279926262,0.1182563268233694,0.00425546777057606,0.1398513986978085,0.10051175906148094,0.12316408274908733,0.011140247100291495,0.021677989047578394,0.03578197607054433,0.04011415887109561,0.032727846538748356,0.06532334623715026,0.10373956177925056,0.11031872682339587,9.8548746
104,0.09391667158686111,0.08917251076429207,0.13194212101928934,0.12191039123199482,0.004181939169788569,0.13792311114215652,0.10583155332845594,0.12893056326584634,0.011718359332121819,0.02120964496103231,0.0387310802405142,0.040875218011732994,0.03284237745827893,0.06497720834701341,0.11259152929319152,0.11272642126508309,10.0264497
105,0.09290201815442413,0.11700003717480248,0.13695962597775196,0.12389596303512582,0.003029378352444642,0.13968228291599724,0.11264213997639731,0.12905740010220476,0.01267212255003598,0.02350257955141418,0.04011659816321304,0.04097766828066495,0.03025906893997816,0.07264823482401687,0.11838170355834841,0.11814246119310677,10.1998995
106,0.10403696487418516,0.09872643500204462,0.14897474081509035,0.13405999138419283,0.003340036690771793,0.14809946949114533,0.1122395708870858,0.13054819248317115,0.012847751582490761,0.023407447158834506,0.04255345098852313,0.042541254527935994,0.03324705337395363,0.07082592063770816,0.128417157240772,0.11846060263624725,10.3752046
107,0.1170973476871806,0.09409817209309446,0.15797541652179428,0.13824653016953897,0.0041709098796704445,0.14750572603978632,0.11838472369790039,0.1359194567706974,0.01579441646034321,0.022570769962556865,0.04350721420643729,0.044470734592821165,0.04295673021860135,0.06906977987157266,0.12987042735303775,0.12528664544026957,10.5523448
