,Time_Gyr,ExpansionFactor,zPositionMedian_kpc,zPosition16thPercentile_kpc,zPosition84thPercentile_kpc,zPositionAbsMedian_kpc,zPositionAbs16thPercentile_kpc,zPositionAbs84thPercentile_kpc,zAngularMomFracMedian,zAngularMomFrac16thPercentile,zAngularMomFrac84thPercentile,CircularityMedian,Circularity16thPercentile,Circularity84thPercentile
69,4.51264561130662,0.41423335287728646,0.05500718743226068,-0.7083337887218107,0.8668856702246376,0.4906887654138487,0.135033412542171,1.3012013604512946,0.9253043304680608,0.758917955990583,0.9826818158184707,0.8088858757767992,0.46100922929023785,1.0649812051414114
70,4.667681813768118,0.42416436072959446,-0.0567678558233355,-0.9123513761910249,0.7433132442512764,0.5142765375049949,0.13994153628073977,1.3260826404825914,0.9294868934399937,0.7866331623261754,0.9823718292760107,0.821865495896607,0.5071108936373654,1.0578347982992498
71,4.827489579195381,0.4343334588184266,-0.012318320048058171,-0.8219625915258766,0.7304797263798639,0.48031207205698556,0.13389126514701716,1.275912491853375,0.9367120870211985,0.7884911823336175,0.9854347223713432,0.825816795349986,0.5293853381244507,1.0629489900559865
72,4.992162284945694,0.4447463552211064,-0.04720927268574707,-0.7933490685191308,0.704836927392154,0.4726912739251024,0.13184038981709714,1.2273386834933753,0.9436153219597732,0.792374845093103,0.9878732049393886,0.8472685801576092,0.5580687844202548,1.0738156513919244
73,5.127463975584815,0.45325613023749545,-0.006878584216553574,-0.7373803902976309,0.7148069585714152,0.45280062473853183,0.1254383924743037,1.2010447769240933,0.9480801760666404,0.8004322711057575,0.9892208695938118,0.8535349225065836,0.5678692884117863,1.0634180899523211
74,5.301118608921481,0.46412268687092223,-0.041694783882235596,-0.747806332059291,0.6593777116887116,0.43759426219189834,0.12349785446723525,1.158901113498775,0.9521915488304938,0.8131903210776754,0.9895966120902759,0.8534083735684815,0.5663103853200895,1.0677866583629263
75,5.443716379840261,0.4730032085410998,-0.04005231102152685,-0.7171031792468973,0.6077740308585677,0.4141008122997365,0.11395519129511418,1.091117829838815,0.9563164421908543,0.8244875133515198,0.9904139303691831,0.8836957396379997,0.590032097472378,1.0875580115326335
76,5.589624137566063,0.4820536500780824,-0.0151530049119271,-0.6808248184192992,0.6493200304583356,0.41070856057152544,0.11481282351928944,1.0961774608082289,0.9563220340271227,0.8328862867892616,0.9907595819013566,0.8841405256512099,0.6053021834095029,1.0863043497228204
77,5.738880497072539,0.4912772627279358,0.030952932167755527,-0.6365676886803426,0.7094658003745595,0.4214133720176755,0.11847956577267069,1.1005189103263433,0.9572315695033626,0.8381688494913302,0.9906210220136519,0.8819322625190753,0.6192075762164463,1.0751022566584427
78,5.930215178562359,0.5030553542792862,-0.017195298662294686,-0.6368111993338881,0.6300261691376435,0.39828844928596824,0.11091348383120177,1.0258216098014903,0.9570527190915269,0.8419673742462095,0.9903033440221473,0.8837830774668155,0.6281853277802569,1.0827896949722409
79,6.087135431528504,0.5126808134549512,-0.02398918100339061,-0.6954017798668795,0.6146457895466272,0.4100493971318279,0.11493980169489382,1.0505624261531579,0.9554372594419567,0.8447945538707611,0.9898967666607247,0.8806189771719054,0.6295751133132147,1.0718205978012632
