,Time_Gyr,ExpansionFactor,zPositionMedian_ckpc,zPosition16thPercentile_ckpc,zPosition84thPercentile_ckpc,zPositionAbsMedian_ckpc,zPositionAbs16thPercentile_ckpc,zPositionAbs84thPercentile_ckpc,zAngularMomFracMedian,zAngularMomFrac16thPercentile,zAngularMomFrac84thPercentile,CircularityMedian,Circularity16thPercentile,Circularity84thPercentile
93,8.296126559325902,0.6466664866145445,0.006650811897301531,-2.3603527005992655,2.443298679749004,1.3638202508891544,0.3223110164726646,4.239067708993901,0.9747321939991642,0.9109699727671665,0.9943953451460787,0.8765923484118466,0.6611730118786602,1.0997258826337457
94,8.448811765562718,0.6559244517992534,0.015840373028849927,-2.2759210141503754,2.3174318551449042,1.3265958395591808,0.319217487099841,3.9812157071984533,0.9741710021485068,0.9076312465662996,0.9946497902499882,0.9062973955063608,0.6800350069162472,1.1181876989816424
95,8.60349865622863,0.6653149581332802,-0.015309317169554318,-2.4582685232534143,2.228175577624507,1.3460865875768842,0.32238602477918477,4.049251808473267,0.9738058364762694,0.9105492132730052,0.994646881079603,0.9032455153456855,0.674067194079306,1.1067472894539356
96,8.760179450310375,0.6748399031346985,-0.1648824825513463,-2.7135545989236283,2.0509007275384628,1.398738595042897,0.33475866065630744,4.121923254705082,0.9745760228417275,0.9135957138024022,0.9946041763475479,0.9105288334166648,0.6849854892042714,1.0986891713281646
97,8.918845098217659,0.684501211487295,0.10503822026422115,-2.2626705159610903,2.539369842329099,1.3965917563542096,0.33317625371200255,4.268907195341501,0.9751745134382138,0.9138178649827353,0.9947636463912981,0.9194768486082487,0.698893057283923,1.1027168121936732
98,9.079485288786328,0.6943008354294861,0.027174620395479274,-2.4152747156947996,2.5693137074181913,1.4292598108413026,0.34351368170879726,4.499720777584809,0.9742799617005309,0.914000214443242,0.9947454891942588,0.9280553311902673,0.708959758940869,1.0987581046098187
99,9.242088459951992,0.7042407551488017,-0.014225466839366298,-2.812533609523866,2.538918718352713,1.5086463703217807,0.3559339593080342,4.823830900308579,0.9715692038879195,0.9084973254400469,0.9938094100945328,0.9120592669648909,0.6997732576643766,1.0897870252976696
100,9.406641813093389,0.7143229791820179,-0.024580245772810264,-2.9925931947035243,3.0652321251833787,1.69997175235976,0.38621588743175483,5.474578668942064,0.9698006561762588,0.9090054928928519,0.9930568632757855,0.911433375380167,0.7082639213639537,1.0839234598396876
101,9.573131331020738,0.7245495448210172,-0.12916575760601873,-3.263632578396771,2.567114144198151,1.622572673437989,0.3683373356727315,5.330719635710996,0.9717379996393118,0.9124973711184942,0.993900277629872,0.9202090768653335,0.7176964949706545,1.0914142887141358
102,9.741541799560094,0.7349225185244588,0.027824881744204204,-2.8159412346567336,2.5627139371077243,1.5446197678021534,0.35706717612344185,4.760419688839688,0.9740278735630289,0.9172442113729286,0.9944316038607969,0.9252588790787679,0.7283227671484434,1.096395654527832
103,9.854874595547287,0.7419202059930923,0.08267456726226194,-2.3433944104181266,2.8182827351878883,1.4891543038322523,0.34968039846396115,4.50263873797439,0.9761098309240194,0.9216100563914968,0.9947972776419961,0.9302963998805496,0.7360287390357833,1.0950900170835325
104,10.026449669104903,0.7525418658117033,-0.035172294627710016,-2.6300793312207476,2.5271903362461487,1.4835778315207584,0.34354191597850964,4.322364505986696,0.9782693626836041,0.9255654360932013,0.9949479030143246,0.9246835336907491,0.7337820748876495,1.0991140933956598
105,10.19989947196752,0.7633155900388464,-0.06382938199787447,-2.752716947942096,2.186515889447484,1.4253300421419672,0.33510557850952294,4.17277396057402,0.9794364072226278,0.9282041280117298,0.9953411578758719,0.9316843675057047,0.7430315166650512,1.0861306881836346
106,10.375204641492832,0.7742435556962617,0.014600125594228243,-2.270502962353848,2.1589072755393524,1.279158684551219,0.3098323953427278,3.8124845297488323,0.9816793114911082,0.930685350228732,0.9961604724901743,0.9429860581687783,0.7494503262186887,1.100349022830038
107,10.552344763553133,0.7853279709729014,0.034803189487305104,-2.1781017846481636,2.1044783469659536,1.2372600829596994,0.2986044951747353,3.6991917356616826,0.9828421886536782,0.9321247268302133,0.9965409503095626,0.9278799632043914,0.7514070160450884,1.0803086891858038
108,10.67144705609926,0.7928056023731169,-0.05767674353939492,-2.18480159849172,1.8709682893256867,1.18366342905669,0.287460240778102,3.4448953508216515,0.9838854834255477,0.9332993976341651,0.9968507334442637,0.9397353333475631,0.7582084825118388,1.094564202939025
109,10.85159733936031,0.8041557601699713,0.02431115677507947,-1.9549442430369062,2.1377625343980484,1.1899366899053734,0.2869107513196876,3.480041188658329,0.9844643745306099,0.9347154067356291,0.9970304367092087,0.9438609629534218,0.7567904007477041,1.0980589205783329
110,11.033523308792786,0.8156684118765909,0.021446740240242852,-2.0557959134480845,1.9851657723129787,1.1923980671625878,0.2888954176526448,3.347484864381756,0.9850463124073644,0.9364426487275386,0.9971174341578352,0.9343063898525419,0.7565609719138318,1.0838283909823767
111,11.155782009390867,0.823434934850752,-0.069642815458134,-2.09589549095948,1.8310148035921279,1.1512856884549838,0.27986581021489454,3.2967605800930064,0.9856308149631338,0.9373720604196487,0.9972693719978175,0.9415443913995312,0.7635930849954871,1.0858685268921486
112,11.340613907183545,0.8352235958012078,0.0329825527401878,-1.8613189808332649,1.8905905351986616,1.1063138752082482,0.27081697199898813,3.145981552086477,0.9861246376484197,0.9384594922444162,0.9975552780453344,0.9456579467712201,0.7659925382518122,1.0915896567954448
113,11.527155884914245,0.8471810284677068,-0.02496697453171462,-1.8109534503492737,1.8086426940397633,1.0589811837465788,0.26088738890021573,3.0708052842038125,0.9868222823267685,0.9396294909131617,0.9977632684657717,0.949344580710763,0.775940827172842,1.0957762533108144
114,11.652454415336605,0.8552476040823377,-0.00763868307001583,-1.8272521925708354,1.790514181215404,1.0482709114567887,0.25589262313025934,3.0813122240840176,0.9873583685116241,0.9401403918503864,0.9979105497120065,0.9457862434837235,0.7702905669936726,1.0873252009180736
115,11.841788296065106,0.8674917093619414,0.07535762299971813,-1.7454690745146275,1.8134636602861005,1.0396389352894777,0.2551136397936115,3.054431523688731,0.9877019276764467,0.9409714630441555,0.9979719938115699,0.9461604790134215,0.7751023034931399,1.0904699207866728
116,11.968923189270404,0.8757516765159388,-0.06626288074991357,-1.8509133386281715,1.6432221266258686,1.019053988652906,0.251556949553934,3.039703340382906,0.9877784203309284,0.941298372595092,0.9979798879680584,0.9482443856457838,0.7741903693594664,1.0878960828752404
117,12.160973462266846,0.8882893272206793,-0.024800459696204015,-1.8676818619735185,1.7405707268676855,1.0585490459554738,0.2581756241387016,3.072247813183276,0.9877346123426893,0.9420149414341776,0.9978594118575477,0.9462549216347025,0.7765169789215093,1.0891610005240528
118,12.354616159128053,0.9010064725120812,-0.03416792574859089,-1.788131385375528,1.8017047206930108,1.049485600802976,0.255862002645589,3.039819518535202,0.9876331161071126,0.9426758259192694,0.9978283449246801,0.95120123396709,0.7823576478130945,1.0929654146245376
119,12.48458181323533,0.9095855560793044,0.013026497243792332,-1.8284668337669843,1.8363207542298754,1.0654165423325366,0.2590299442980207,3.1044842307936955,0.9877109351238594,0.9430522796300572,0.997750220701661,0.948629845273784,0.7802860083252611,1.0882082211494422
120,12.680814521632618,0.9226075876597282,-0.018924524412228944,-1.9061409305638257,1.8066677952781802,1.0774388758814728,0.25729746378023355,3.12330023267638,0.9877797652801685,0.9431645788855079,0.9977283452709428,0.9466265224418203,0.7802804937064561,1.0892178877957148
121,12.812479750823842,0.9313923498515226,-0.09374255968381574,-1.9416061102604094,1.548381267034867,1.0282315074192387,0.24925622409549672,2.981997157223625,0.9877839173859643,0.9438182804967582,0.9978285971703126,0.9521422317190891,0.7838300534539137,1.0965112879085956
122,13.011220678541196,0.9447265771954694,0.040153025529503554,-1.6719626253030426,1.7791600225251651,1.004037851805263,0.24418132848244764,2.9589089269875046,0.988430604856426,0.9442063857010166,0.9979996402506424,0.9473061305047878,0.7829890016521803,1.0938389256469974
123,13.144530370226075,0.9537219490392906,-0.06305109975124368,-1.7780933478933214,1.600265336211836,0.9800087536869749,0.2388900852376003,2.913625558697874,0.988724379403724,0.9444949863792962,0.9980507110137319,0.9453170665856298,0.7837700861203664,1.0898680821969422
124,13.345696086314069,0.9673758568617342,-0.014904578232892603,-1.682445500077479,1.5885718108793525,0.9611329180492443,0.2367804929155652,2.777449857326538,0.9889331601376105,0.9446069484799443,0.9980495545150491,0.9434784615481412,0.781207286677146,1.094947658859455
125,13.48059417811007,0.9765868876036025,-0.023732119618271718,-1.7064227682066504,1.5928019742720658,0.9791719688924099,0.24177912855934813,2.795580420643836,0.9889970924872517,0.9448372386199193,0.9979945329498624,0.9483116640271112,0.7861732522582779,1.096775590487034
126,13.684100038722406,0.99056814006128,0.058910540778391376,-1.579192057036331,1.6728196473300507,0.9616050728607434,0.23459477609343352,2.731692830076038,0.9891068694271455,0.9455051029193071,0.9980867451859385,0.9382787166742077,0.7745338117821434,1.0882494001588194
127,13.82052979916365,0.9999999999999998,-0.03383049305874801,-1.5745536536758757,1.5241556406961763,0.9078183210663205,0.22416342929238098,2.60733107389768,0.9893825784557523,0.9459634860872426,0.9981713171180018,0.957108465389956,0.8308928731026117,1.1004671841933418
