SnapshotNumber,Time_Gyr,LookbackTime_Gyr,Redshift,ExpansionFactor,VirialRadius_ckpc,VirialMass_1E10Msun,MainHaloIdx,MainSubhaloIdx,VirialRadius00_ckpc,VirialMass00_1E10Msun,ReferencePotential_(km/s)^2,SFR_H_Msun/yr,SFR_B_Msun/yr,SFR_CD_Msun/yr,SFR_WD_Msun/yr
119,5.7012504,8.1192794,1.0451782,0.4889549,272.847,84.1365452,0,0,272.847,84.1365452,-18674.01,0.1871939209354827,0.3309827002239469,5.491905821817716,2.180969739446091
120,5.7388805,8.0816493,1.0355104,0.4912773,272.937,84.4811908,0,0,272.937,84.4811908,-23549.094,0.17046981427524857,0.21838582547671678,5.798441287572951,1.7413397077111805
121,5.8147759,8.0057539,1.0163118,0.495955,272.465,84.5531786,0,0,272.465,84.5531786,-26646.91,0.14865681449497378,0.1611741776841961,4.95919828322738,1.6633103722909728
122,5.8915219,7.9290079,0.9972942,0.5006774,271.451,84.1349635,0,0,271.451,84.1349635,-25168.086,0.14144856278476578,0.12266321996238075,5.454587872234751,1.420897218976571
123,5.9302152,7.8903146,0.9878528,0.5030554,270.761,83.7517151,0,0,270.761,83.7517151,-20438.672,0.16208340933746387,0.12860350464107517,5.980903550611741,1.0847973133072426
124,6.0082449,7.8122849,0.9691037,0.5078453,269.337,82.9752832,0,0,269.337,82.9752832,-20282.141,0.1486925452077468,0.10817597838243627,4.93370396105993,0.9307158529762137
125,6.0475823,7.7729475,0.9597955,0.5102573,268.752,82.697126,0,0,268.752,82.697126,-27229.828,0.2638374282307177,0.11748445571682924,5.124182589479846,1.0363238596705837
126,6.1269047,7.6936251,0.941311,0.5151158,267.601,82.1810021,0,0,267.601,82.1810021,-24520.088,0.3463778546946279,0.20975328244260458,5.601796211190684,1.3819644732388838
127,6.1668905,7.6536393,0.9321342,0.5175624,267.017,81.9215047,0,0,267.017,81.9215047,-16481.676,0.4961239793426404,0.3610276662367076,6.668944698071944,2.177902203254295
128,6.2475137,7.5730161,0.9139106,0.5224904,265.942,81.4916097,0,0,265.942,81.4916097,-24592.465,0.27458380059658477,0.3035740790175175,6.485882620281795,2.0355192407700233
129,6.288152,7.5323778,0.9048633,0.524972,265.482,81.359798,0,0,265.482,81.359798,-21285.713,0.21276194157856365,0.29343326995406405,7.099274937044367,2.1662020765460013
130,6.3700838,7.450446,0.8868969,0.5299707,264.509,81.0438935,0,0,264.509,81.0438935,-27985.383,0.22363332169070294,0.3007111932300486,6.581345496578669,2.2652764450751817
