,Time_Gyr,ExpansionFactor,zPositionMedian_kpc,zPosition16thPercentile_kpc,zPosition84thPercentile_kpc,zPositionAbsMedian_kpc,zPositionAbs16thPercentile_kpc,zPositionAbs84thPercentile_kpc,zAngularMomFracMedian,zAngularMomFrac16thPercentile,zAngularMomFrac84thPercentile,CircularityMedian,Circularity16thPercentile,Circularity84thPercentile
45,1.197181863756146,0.1683677232791182,-0.1283279915914845,-1.2611768250660025,0.3941218372939527,0.40963933988803214,0.10906875813083655,1.2611768250660025,0.5849758657213626,-0.5959373083997404,0.8149123060746492,0.25473068916988006,-0.22245893607268144,0.9867006316643351
46,1.2850184010331818,0.1765375363843931,0.10327910969638579,-1.6016776079380866,0.44637449255669986,0.41188582244298766,0.19980536301286722,1.6016776079380866,0.689884155887878,-0.2511708025766225,0.9181081868328247,0.2585944267471372,-0.05724461164710584,0.87709926097895
47,1.3695201902147043,0.18422877390319162,-0.6785258000444699,-1.20649748773212,-0.31824270505085267,0.6785258000444699,0.31824270505085267,1.20649748773212,0.8804515404585744,0.6608523459116095,0.9705686007744857,1.0727379025842283,0.8128066291985957,1.2140761904591186
48,1.469878490582777,0.19316822276007173,-0.0992353913111995,-2.8127558743675483,0.1448527883025969,0.35039052601093684,0.06293657578912967,2.8127558743675474,0.8749038748550869,0.6984311961279541,0.9537776421876321,0.9083674304147575,0.7963062106827905,1.1033327122710184
49,1.577506484958674,0.20254144612552438,0.14259985658645746,-0.38165064893419154,0.7089514794907238,0.4025131201923414,0.14082975048062,0.9272715049447771,0.8505928929454094,0.2599152685783992,0.9455977972283485,0.8238522010821768,0.17082428943748554,1.143571103409604
50,1.6929110344480442,0.21236949231329916,0.027688845813784495,-0.5861165926988313,1.8376788884126052,0.41967864022399004,0.1038103818799386,2.2285623138808406,0.7283034413667671,-0.47365340573254183,0.9546325331740279,0.4713037212903764,-0.19729667341579257,0.9120770942758587
51,1.816629764214748,0.22267443097773348,-0.09420740069681183,-0.9579466256764709,0.6072605264490335,0.40966154242249575,0.13849130878414562,1.7439031353759,0.7201434742820083,-0.3854971065636458,0.9293495155553009,0.5285196235030762,-0.21174324096300234,1.0318913596059476
52,1.949231863937383,0.23347940267290615,-0.11584256624024827,-1.1457363549706596,0.7818273869677447,0.5627019567388009,0.19275794482909506,1.8014854188292908,0.67508886314673,-0.4083094720781015,0.9101273210132491,0.47141145581806676,-0.183443106245714,0.9400924114322446
53,2.0913186379114133,0.24480867081657914,-0.0008213908337988839,-0.9036531072204834,0.8479275306841517,0.5336675197482088,0.1378340366554677,1.517381607723294,0.721708914474746,-0.29669800155508586,0.936065437394548,0.6308778939541247,-0.16102587648378786,0.9877353809829731
54,2.243523728229641,0.2566876761756205,0.06853419378129708,-1.0631113571113002,1.080539407614158,0.6822834290281186,0.23498151425645789,1.7812061316653758,0.1883182181957304,-0.8260662362529441,0.8628900589781914,0.09823282776826357,-0.5011982193745664,0.8151849683511725
55,2.38970908764874,0.2678708269437177,0.049764285843150284,-0.9007551512089256,1.3133357922468016,0.5385453716014034,0.147134138768301,2.153976810197095,0.42948181036901917,-0.5207443198143085,0.9324820564118785,0.22956910012351225,-0.30519581844155974,0.9591603535579276
