SnapshotNumber,Time_Gyr,LookbackTime_Gyr,Redshift,ExpansionFactor,VirialRadius_ckpc,VirialMass_1E10Msun,MainHaloIdx,MainSubhaloIdx,VirialRadius00_ckpc,VirialMass00_1E10Msun,ReferencePotential_(km/s)^2
89,3.8846955999999997,9.935834199999999,1.6793349999999998,0.37322690000000003,218.1179952,38.0021808,0,0,218.1179952,38.0021808,-20513.33984375
90,3.9382653,9.8822645,1.6540639,0.3767807,218.75610440000003,38.4518529,0,0,218.75610440000003,38.4518529,-24203.5859375
91,4.019904,9.8006258,1.6166035,0.3821748,220.5341294,39.5819901,0,0,220.5341294,39.5819901,-24967.216796875
92,4.0751955,9.745334300000001,1.591924,0.3858138,223.31611919999997,41.2342769,0,0,223.31611919999997,41.2342769,-20313.974609375
93,4.1311871,9.6893427,1.5674774,0.38948740000000004,226.80594169999998,43.339875,0,0,226.80594169999998,43.339875,-17881.779296875
94,4.1878854,9.6326444,1.5432613000000002,0.39319590000000004,228.50883419999997,44.47342879999999,0,0,228.50883419999997,44.47342879999999,-18091.806640625
95,4.2452968,9.575233,1.5192736,0.39693979999999995,229.6066872,45.2742845,0,0,229.6066872,45.2742845,-17472.197265625
96,4.3034279,9.5171019,1.4955121999999998,0.4007193,230.8149411,46.158988,0,0,230.8149411,46.158988,-17493.166015625
97,4.362284900000001,9.4582449,1.4719748,0.40453490000000003,233.052446,47.6855396,0,0,233.052446,47.6855396,-14707.146484375
98,4.421874400000001,9.3986554,1.4486595,0.4083867,237.86927880000002,50.89307120000001,0,0,237.86927880000002,50.89307120000001,-18280.197265625
99,4.4822025000000005,9.3383272,1.4255641000000001,0.41227520000000006,240.86061490000003,53.041218099999995,0,0,240.86061490000003,53.041218099999995,-21055.30859375
100,4.543275700000001,9.2772541,1.4026865,0.4162008,245.3859329,56.31146120000001,0,0,245.3859329,56.31146120000001,-24949.12890625
101,4.6051001,9.2154297,1.3800246999999999,0.4201637,250.8204701,60.3752986,0,0,250.8204701,60.3752986,-17289.59765625
102,4.6676817999999995,9.152847999999999,1.3575767,0.4241644,253.32547909999997,62.460323100000004,0,0,253.32547909999997,62.460323100000004,-15246.3330078125
103,4.731027,9.0895028,1.3353403,0.4282031,255.3061,64.2057849,0,0,255.3061,64.2057849,-14638.69921875
104,4.7951418,9.025388000000001,1.3133137,0.4322803,258.4717997,66.9147603,0,0,258.4717997,66.9147603,-16484.998046875
105,4.860032,8.9604978,1.2914948999999998,0.43639629999999996,261.5409948,69.63750970000001,0,0,261.5409948,69.63750970000001,-19275.48046875
106,4.925703599999999,8.894826199999999,1.2698818,0.4405516,266.91919920000004,74.36418809999999,0,0,266.91919920000004,74.36418809999999,-19721.18359375
107,4.9588342,8.8616956,1.2591518999999998,0.442644,268.74113389999997,76.07500970000001,0,0,268.74113389999997,76.07500970000001,-19521.24609375
108,5.0256886,8.7948412,1.2378438999999999,0.44685870000000005,270.56854350000003,77.9992675,0,0,270.56854350000003,77.9992675,-17633.82421875
